pass,material_changes,minor_changes,open_gaps,pending_questions,unresolved_markers,instability_score
1,9,0,8,0,0,17
2,9,1,6,0,0,15
3,6,0,1,0,0,7
4,2,0,1,0,0,3
5,2,1,0,0,0,2
6,2,0,0,0,0,2
7,0,0,0,0,0,0
