pass,material_changes,minor_changes,open_gaps,pending_questions,unresolved_markers,instability_score
1,13,0,5,0,0,18
2,11,1,2,0,0,13
3,4,0,0,0,0,4
4,8,0,2,0,0,10
5,5,0,0,0,0,5
6,1,0,0,0,0,1
7,1,0,0,0,0,1
8,0,0,0,0,0,0
